INSERT INTO hearudb.usuarios (nombreUsuario, nombre, correo, contrasena, foto) VALUES ('diego123', 'Diego Castillo', 'diego@gmail.com', '12345', null);

INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (1, 'Bad Bunny', '/artist/badbunny.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (2, 'Grupo Marca Registrada', '/artist/marcaregistrada.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (3, 'Taylor Swift', '/artist/taylorswift.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (4, 'Feid', '/artist/feid.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (5, 'Rels B', '/artist/relsb.png');

INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (1, 'Pop');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (2, 'Rock');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (3, 'Hip hop');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (4, 'Electrónica');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (5, 'Clásica');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (6, 'Jazz');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (7, 'Reggae');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (8, 'Country');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (9, 'Salsa');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (10, 'Merengue');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (11, 'Flamenco');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (12, 'Tango');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (13, 'Opera');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (14, 'Balada');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (15, 'Rumba');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (16, 'Cumbia');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (17, 'Música del mundo');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (18, 'reggaeton');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (19, 'Regional Mexicana');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (20, 'Urbano Latino');

INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (1, 'Nadie sabe lo que va a pasar mañana', 1, 18, 'Rimas Entertainment', 'NSPM.jpeg', '2023-10-13');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (2, 'Corleone', 2, 19, 'Interscope Records', '/cover/corleone.jpeg', '2023-08-04');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (3, 'Midnights', 3, 1, 'Republic Records', '/Cover/Midnights.jpeg', '2022-10-21');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (4, 'MOR, No Le Temas a La Oscuridad', 4, 20, 'Universal Music Latino', '/Cover/MOR,NLTALO.jpg', '2023-09-29');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (5, 'Happy Birthday Flakko', 5, 20, 'Sony Music Entertainment España,S.L.', '/Cover/HBF-RelsB.jpg', '2019-10-19');

INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (23, 'FINA', 1, 18, 1, '03:37:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (47, 'Hoy Todo Cambio', 2, 19, 2, '03:23:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (48, 'La Que Me Espera En La Noche', 2, 19, 2, '03:46:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (49, 'Quitasueños', 2, 19, 2, '02:54:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (50, 'Que Guapo Estoy', 2, 19, 2, '02:41:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (51, 'Sueños Y Realidades', 2, 19, 2, '03:44:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (52, 'Te Fuiste', 2, 19, 2, '02:55:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (53, 'Pinta De Estudiante', 2, 19, 2, '03:30:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (54, 'Pobre No', 2, 19, 2, '02:24:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (55, 'Ahí Te Va Mitotero', 2, 19, 2, '03:04:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (56, 'Borrón Y Cuenta Nueva', 2, 19, 2, '02:24:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (57, 'El Detallazo', 2, 19, 2, '03:43:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (58, 'Corleone', 2, 19, 2, '02:47:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (59, 'Lavender Haze', 3, 1, 3, '03:22:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (60, 'Maroon', 3, 1, 3, '03:38:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (61, 'Anti-Hero', 3, 1, 3, '03:20:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (62, 'Snow On The Beach (feat. Lana Del Rey)', 3, 1, 3, '04:16:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (63, 'You\'re On Your Own, Kid', 3, 1, 3, '03:14:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (64, 'Midnight Rain', 3, 1, 3, '02:54:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (65, 'Question...?', 3, 1, 3, '03:30:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (66, 'Vigilante Shit', 3, 1, 3, '02:44:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (67, 'Bejeweled', 3, 1, 3, '03:14:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (68, 'Labyrinth', 3, 1, 3, '04:07:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (69, 'Karma', 3, 1, 3, '03:24:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (70, 'Sweet Nothing', 3, 1, 3, '03:08:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (71, 'Mastermind', 3, 1, 3, '03:11:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (72, 'Meet me at midnight', 3, 1, 3, '00:08:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (73, 'FERXXO 30', 4, 20, 4, '02:53:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (74, 'VOL 2', 4, 20, 4, '01:10:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (75, 'VENTE CONMIGO', 4, 20, 4, '03:06:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (76, 'Niña Bonita', 4, 20, 4, '03:07:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (77, 'GANGSTERS Y PISTOLAS', 4, 20, 4, '02:50:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (78, 'FERXXO 151', 4, 20, 4, '03:15:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (79, 'BUBALU', 4, 20, 4, '03:48:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (80, 'RITMO DE MEDALLO', 4, 20, 4, '01:58:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (81, 'FERXXO EDITION', 4, 20, 4, '02:41:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (82, 'NX TX SIENTAS SOLX', 4, 20, 4, '02:01:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (83, 'LUCES DE TECNO', 4, 20, 4, '02:44:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (84, 'EY CHORY', 4, 20, 4, '02:58:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (85, 'VELOCIDAD CRUCERO', 4, 20, 4, '02:16:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (86, 'ROMÁNTICOS DE LUNES', 4, 20, 4, '04:02:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (87, 'el único tema del ferxxo', 4, 20, 4, '03:02:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (88, 'PRIVILEGIOS', 4, 20, 4, '03:06:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (89, 'Happy Birthday Flakko', 5, 20, 5, '00:29:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (90, '¿Y Tú Qué?', 5, 20, 5, '03:06:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (91, 'Orgullo', 5, 20, 5, '03:06:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (92, 'Sin Mirar las Señales', 5, 20, 5, '03:00:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (93, '¿Cómo Te Va, Querida?', 5, 20, 5, '03:27:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (94, 'La Latina', 5, 20, 5, '03:06:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (95, 'Otro Cheke (feat. The Rudeboyz)', 5, 20, 5, '03:00:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (96, 'Si No Te Veo', 5, 20, 5, '03:27:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (97, 'Quédate', 5, 20, 5, '03:10:00');


INSERT INTO hearudb.publicaciones (idPublicacion, nombreUsuario, fechaPublicacion, score, descripcion, idAlbum, idCancion, idAutor) VALUES (1, 'diego123', '2023-11-18 23:09:27', 4, 'La cancion creada para mi <3', 2, 50, 2);
INSERT INTO hearudb.publicaciones (idPublicacion, nombreUsuario, fechaPublicacion, score, descripcion, idAlbum, idCancion, idAutor) VALUES (2, 'diego123', '2023-11-18 23:14:11', 5, 'La cancion creada para mi <3', 2, 50, 2);


INSERT INTO hearudb.favoritos (idFavorito, nombreUsuario, idCancion) VALUES (3, 'diego123', 50);

